"name","airplay_count","shows_count"
"Michael Jackson",3230,0
"Morgan Wallen",2551,41
"Bon Jovi",2208,1
"Queen",2203,0
"Madonna",2096,47
"Aerosmith",2065,1
"Journey",2036,30
"Bad Bunny",1948,71
"Luke Combs",1862,39
"Jelly Roll",1745,64
"Rauw Alejandro",1559,42
"Myke Towers",1409,4
"Prince Royce",1362,1
"Def Leppard",1350,28
"The Police",1350,0
"Post Malone",1348,49
"Bryan Adams",1315,40
"Shaboozey",1307,17
"FEID",1290,30
"Phil Collins",1273,3
"Jason Aldean",1257,56
"Chris Brown",1248,53
"Karol G",1240,1
"Guns N' Roses",1206,9
"Prince",1205,0
"Pat Benatar",1175,30
"Billy Joel",1175,254
"Manuel Turizo",1156,4
"Ozuna",1146,0
"Tom Petty",1125,0
"Cyndi Lauper",1106,25
"Mariah Carey",1099,17
"Jordan Davis",1093,80
"J Balvin",1078,30
"Elton John",1045,229
"Whitney Houston",1026,69
"Maroon 5",1022,18
"Green Day",990,19
"Eagles",976,40
"Red Hot Chili Peppers",976,19
"Billy Idol",971,47
"AC/DC",964,22
"Tears For Fears",943,0
"Maluma",925,9
"Rihanna",918,0
"Ella Langley",915,96
"Riley Green",905,107
"Vicente Fernández",895,0
"Shakira",893,31
"U2",891,27
"Fleetwood Mac",868,0
"Lainey Wilson",865,63
"Taylor Swift",863,0
"Romeo Santos",859,0
"Ovy On The Drums",837,0
"Led Zeppelin",829,0
"George Michael",827,0
"Grupo Frontera",825,5
"Eurythmics",817,0
"Carin Leon",810,13
"Bruno Mars",804,23
"SZA",780,41
"Kane Brown",773,70
"Carrie Underwood",770,39
"Nate Smith",768,116
"Blessd",759,5
"Lady Gaga",757,30
"R.E.M.",754,0
"Thomas Rhett",746,48
"Simple Minds",744,37
"Sam Hunt",742,38
"No Doubt",738,2
"Marc Anthony",734,13
"Cody Johnson",729,60
"a-ha",726,0
"Ed Sheeran",708,11
"The Outfield",703,0
"Drake",701,39
"Bailey Zimmerman",696,92
"Backstreet Boys",690,20
"Nirvana",686,0
"Pink Floyd",685,0
"Goo Goo Dolls",684,52
"Survivor",672,0
"P!nk",669,0
"The Cars",669,0
"Luke Bryan",660,62
"Eddie Money",654,0
"Van Halen",651,1
