"dma_name","dma_rank","venue_count","total_events","events_per_venue","peak_window_events","peak_window_share","off_peak_events","off_peak_share","off_peak_events_per_venue"
"New York",1,11479,141553,12.33,82474,58.26,59079,41.74,5.15
"Los Angeles",2,7413,122528,16.53,76166,62.16,46362,37.84,6.25
"Chicago",3,4986,73703,14.78,47437,64.36,26266,35.64,5.27
"San Francisco - Oak - San Jose",6,4749,68649,14.46,44713,65.13,23936,34.87,5.04
"Boston",10,4119,52495,12.74,31304,59.63,21191,40.37,5.14
"Philadelphia",5,4083,62924,15.41,40137,63.79,22787,36.21,5.58
"Washington, DC",9,3985,38946,9.77,22570,57.95,16376,42.05,4.11
"Atlanta",8,3761,46405,12.34,27309,58.85,19096,41.15,5.08
"Dallas - Ft. Worth",4,3307,42660,12.90,28082,65.83,14578,34.17,4.41
"Denver",17,2976,48131,16.17,28846,59.93,19285,40.07,6.48
"Miami - Ft. Lauderdale",16,2852,26779,9.39,17682,66.03,9097,33.97,3.19
"Houston",7,2850,30820,10.81,19959,64.76,10861,35.24,3.81
"Seattle - Tacoma",12,2663,41460,15.57,24310,58.63,17150,41.37,6.44
"Minneapolis - St. Paul",15,2314,29459,12.73,17909,60.79,11550,39.21,4.99
"Austin",35,2233,39274,17.59,25802,65.70,13472,34.30,6.03
"Nashville",27,2194,44761,20.40,19777,44.18,24984,55.82,11.39
"Tampa - St. Pete - Sarasota",13,2042,17475,8.56,11360,65.01,6115,34.99,2.99
"Cleveland - Akron",20,1949,29940,15.36,15761,52.64,14179,47.36,7.28
"Orlando - Daytona Beach - Melbourne",18,1886,25547,13.55,15061,58.95,10486,41.05,5.56
"Portland, OR",21,1875,29679,15.83,16622,56.01,13057,43.99,6.96
"Detroit",14,1857,34841,18.76,21066,60.46,13775,39.54,7.42
"Phoenix",11,1835,31772,17.31,17159,54.01,14613,45.99,7.96
"Sacramento - Stockton - Modesto",19,1817,19748,10.87,11023,55.82,8725,44.18,4.80
"San Diego",25,1746,28414,16.27,17525,61.68,10889,38.32,6.24
"Baltimore",29,1709,20659,12.09,11904,57.62,8755,42.38,5.12
"Charlotte",22,1698,18079,10.65,10369,57.35,7710,42.65,4.54
"Indianapolis",28,1624,20627,12.70,11221,54.40,9406,45.60,5.79
"Raleigh - Durham",24,1502,13482,8.98,7500,55.63,5982,44.37,3.98
"St. Louis",26,1461,16108,11.03,8356,51.87,7752,48.13,5.31
"Hartford - New Haven",32,1455,19039,13.09,12699,66.70,6340,33.30,4.36
"Pittsburgh",31,1454,21777,14.98,10823,49.70,10954,50.30,7.53
"Greenville - Spartanburg - Asheville - Anderson",36,1334,10362,7.77,6182,59.66,4180,40.34,3.13
"Kansas City",34,1316,21798,16.56,11064,50.76,10734,49.24,8.16
"Columbus, OH",33,1316,19627,14.91,10621,54.11,9006,45.89,6.84
"Salt Lake City",23,1293,22441,17.36,11920,53.12,10521,46.88,8.14
"San Antonio",30,1285,15538,12.09,10445,67.22,5093,32.78,3.96
"Cincinnati",37,1273,17650,13.86,9306,52.73,8344,47.27,6.55
"Milwaukee",40,1150,23414,20.36,12559,53.64,10855,46.36,9.44
"New Orleans",52,1114,17560,15.76,10767,61.32,6793,38.68,6.10
"Las Vegas",38,1088,49911,45.87,36735,73.60,13176,26.40,12.11
"Albuquerque - Santa Fe",48,1032,10550,10.22,4956,46.98,5594,53.02,5.42
"Norfolk - Portsmouth - Newport News",45,1019,12315,12.09,5845,47.46,6470,52.54,6.35
"Albany - Schenectady - Troy",62,1016,10083,9.92,6082,60.32,4001,39.68,3.94
"Greensboro - High Point - Winston-Salem",49,982,7152,7.28,3889,54.38,3263,45.62,3.32
"Grand Rapids - Kalamazoo - Battle Creek",41,965,11798,12.23,6116,51.84,5682,48.16,5.89
"Jacksonville - Brunswick",43,943,9614,10.20,5773,60.05,3841,39.95,4.07
"Harrisburg - Lancaster - Lebanon - York",42,939,7889,8.40,4957,62.83,2932,37.17,3.12
"Oklahoma City",46,894,9054,10.13,5029,55.54,4025,44.46,4.50
"Louisville",50,886,14298,16.14,7800,54.55,6498,45.45,7.33
"Buffalo",54,885,13026,14.72,6357,48.80,6669,51.20,7.54
"Providence - New Bedford",53,841,13049,15.52,7875,60.35,5174,39.65,6.15
"Memphis",51,837,9559,11.42,6267,65.56,3292,34.44,3.93
"West Palm Beach - Ft. Pierce",39,814,6254,7.68,4580,73.23,1674,26.77,2.06
"Richmond - Petersburg",55,813,10245,12.60,5398,52.69,4847,47.31,5.96
"Birmingham",47,812,9069,11.17,5383,59.36,3686,40.64,4.54
"Burlington - Plattsburgh",91,793,5093,6.42,2931,57.55,2162,42.45,2.73
"Portland - Auburn",81,784,5933,7.57,3399,57.29,2534,42.71,3.23
"Knoxville",60,767,5295,6.90,2806,52.99,2489,47.01,3.25
"Tulsa",63,756,7691,10.17,4449,57.85,3242,42.15,4.29
"Wilkes Barre - Scranton",58,703,6000,8.53,3001,50.02,2999,49.98,4.27
"Syracuse",87,697,6885,9.88,3993,58.00,2892,42.00,4.15
"Green Bay - Appleton",71,696,2995,4.30,1921,64.14,1074,35.86,1.54
"Mobile - Pensacola",57,696,7446,10.70,4933,66.25,2513,33.75,3.61
"Madison",74,688,7693,11.18,4576,59.48,3117,40.52,4.53
"Riverside",134,687,16066,23.39,15148,94.29,918,5.71,1.34
"Roanoke - Lynchburg",72,659,4787,7.26,2279,47.61,2508,52.39,3.81
"Santa Maria - Santa Barbara",112,651,5560,8.54,3184,57.27,2376,42.73,3.65
"Charleston - Huntington",80,613,3885,6.34,2284,58.79,1601,41.21,2.61
"Dayton",69,592,2852,4.82,1766,61.92,1086,38.08,1.83
"Des Moines - Ames",68,588,7134,12.13,4163,58.35,2971,41.65,5.05
"Charleston, SC",89,585,5136,8.78,2923,56.91,2213,43.09,3.78
"Lexington",64,584,2950,5.05,1878,63.66,1072,36.34,1.84
"Spokane",66,567,8957,15.80,5786,64.60,3171,35.40,5.59
"Springfield, MO",77,566,2971,5.25,1836,61.80,1135,38.20,2.01
"Fresno - Visalia",44,546,3863,7.08,2122,54.93,1741,45.07,3.19
"Little Rock - Pine Bluff",59,539,3779,7.01,2172,57.48,1607,42.52,2.98
"Rochester, NY",79,539,5840,10.83,3028,51.85,2812,48.15,5.22
"Chattanooga",83,539,3178,5.90,2012,63.31,1166,36.69,2.16
"Cedar Rapids - Waterloo - Dubuque",96,537,4962,9.24,2925,58.95,2037,41.05,3.79
"Savannah",88,526,1726,3.28,1098,63.62,628,36.38,1.19
"Honolulu",61,525,3404,6.48,2311,67.89,1093,32.11,2.08
"Champaign - Springfield - Decatur",94,520,3107,5.98,1960,63.08,1147,36.92,2.21
"Ft. Myers - Naples",56,506,1725,3.41,1293,74.96,432,25.04,0.85
"Waco - Temple - Bryan",75,500,1319,2.64,1015,76.95,304,23.05,0.61
"Toledo",86,493,3196,6.48,1962,61.39,1234,38.61,2.50
"Omaha",73,474,8482,17.89,4340,51.17,4142,48.83,8.74
"Columbia, SC",78,473,3863,8.17,2152,55.71,1711,44.29,3.62
