state_code,venue_count,capacity_sum,capacity_count,population,venues_per_100k,venues_with_shows,total_shows,overused_venues,one_show_venues,shows_per_venue,state_name
AK,203,419063.0,180,733971,27.66,245,1215,10,139,4.96,Alaska
AL,1471,8594729.0,1381,5054253,29.1,1195,17421,114,650,14.58,Alabama
AR,810,3357026.0,743,3032651,26.71,717,7678,57,383,10.71,Arkansas
AZ,1790,8508048.0,1635,7268175,24.63,1950,40215,238,913,20.62,Arizona
CA,13802,52828027.0,12825,39242785,35.17,14489,294797,1514,7623,20.35,California
CO,2694,10366979.0,2542,5810774,46.36,2804,60384,310,1368,21.53,Colorado
CT,1460,4095638.0,1343,3598348,40.57,1004,23060,118,537,22.97,Connecticut
DC,1018,4849772.0,972,672079,151.47,987,26622,116,438,26.97,Washington D.C.
DE,341,1306485.0,313,1005872,33.9,252,4299,35,164,17.06,Delaware
FL,7527,31826911.0,7003,21928881,34.32,6295,101861,665,3167,16.18,Florida
GA,3831,15806928.0,3562,10822590,35.4,2661,53007,278,1393,19.92,Georgia
HI,427,1076284.0,381,1445635,29.54,307,3715,28,175,12.1,Hawaii
IA,1134,4308190.0,1070,3195937,35.48,1329,16889,163,660,12.71,Iowa
ID,639,2383152.0,602,1893296,33.75,764,10972,71,387,14.36,Idaho
IL,4891,19013658.0,4527,12692653,38.53,4364,87336,473,2296,20.01,Illinois
IN,2336,11523654.0,2198,6811752,34.29,2003,29490,202,1060,14.72,Indiana
KS,852,3463529.0,786,2937569,29.0,749,13938,78,466,18.61,Kansas
KY,1410,6251420.0,1294,4510725,31.26,1231,22473,139,613,18.26,Kentucky
LA,1648,8256297.0,1500,4621025,35.66,1511,23849,171,726,15.78,Louisiana
MA,3075,6893845.0,2846,6992395,43.98,2589,60217,316,1449,23.26,Massachusetts
MD,2368,8204805.0,2181,6170738,38.37,1476,28744,130,817,19.47,Maryland
ME,741,1857265.0,675,1377400,53.8,473,7257,48,287,15.34,Maine
MI,3102,12909507.0,2848,10051595,30.86,2603,56169,310,1397,21.58,Michigan
MN,2050,7123582.0,1912,5713716,35.88,1727,34418,211,924,19.93,Minnesota
MO,2260,12425997.0,2106,6168181,36.64,1809,35796,215,923,19.79,Missouri
MS,838,4087088.0,776,2951438,28.39,664,6231,49,365,9.38,Mississippi
MT,500,1702828.0,465,1105072,45.25,621,6058,63,334,9.76,Montana
NC,3994,16622316.0,3691,10584340,37.73,2912,51525,313,1568,17.69,North Carolina
ND,294,1088885.0,270,779361,37.72,268,3348,33,133,12.49,North Dakota
NE,645,3374293.0,614,1965926,32.81,670,12241,97,318,18.27,Nebraska
NH,679,1865854.0,645,1387834,48.93,487,5970,52,291,12.26,New Hampshire
NJ,2556,7021520.0,2309,9267014,27.58,1567,39637,210,898,25.29,New Jersey
NM,742,2708319.0,690,2114768,35.09,766,11688,70,407,15.26,New Mexico
NV,1098,7395428.0,1052,3141000,34.96,2289,59077,387,866,25.81,Nevada
NY,9222,26899918.0,8554,19872319,46.41,8388,165665,961,4306,19.75,New York
OH,4151,18108691.0,3852,11780046,35.24,3574,71461,389,1814,19.99,Ohio
OK,1234,6493951.0,1140,3995260,30.89,1277,19033,139,654,14.9,Oklahoma
OR,1929,7627224.0,1793,4238714,45.51,1901,37394,225,1039,19.67,Oregon
PA,4682,17510878.0,4331,12986518,36.05,4273,88022,499,2173,20.6,Pennsylvania
RI,517,1045928.0,488,1095371,47.2,523,8912,65,248,17.04,Rhode Island
SC,1752,6984061.0,1646,5212774,33.61,1233,16549,117,649,13.42,South Carolina
SD,304,984517.0,281,899194,33.81,380,3778,35,191,9.94,South Dakota
TN,2963,15888911.0,2744,6986082,42.41,3194,65211,382,1552,20.42,Tennessee
TX,9291,47948383.0,8571,29640343,31.35,9191,154506,981,4676,16.81,Texas
UT,924,5580702.0,879,3331187,27.74,1034,24119,153,488,23.33,Utah
VA,3074,9131703.0,2849,8657499,35.51,2260,39872,225,1239,17.64,Virginia
VT,477,1251784.0,430,645254,73.92,424,5423,43,267,12.79,Vermont
WA,2630,8925935.0,2443,7740984,33.98,2588,52486,284,1422,20.28,Washington
WI,2455,9098690.0,2289,5892023,41.67,2240,41260,228,1234,18.42,Wisconsin
WV,676,2150587.0,590,1784462,37.88,464,4281,44,276,9.23,West Virginia
WY,300,1205142.0,282,579761,51.75,336,2206,22,207,6.57,Wyoming
