"venue_name","venue_city","venue_state","venue_capacity","total_events","prime_night_events","off_night_events","prime_night_share","off_night_share"
"NRG Park - Parking Lot","Houston","Texas",10000,35,35,0,100.00,0.00
"Union Park","Chicago","IL",NULL,28,28,0,100.00,0.00
"Aqua Lounge and Nightclub","Jacksonville","Florida",0,21,21,0,100.00,0.00
"Dimension Event Center","Naples","FL",NULL,51,51,0,100.00,0.00
"OMSI","Portland","Oregon",0,30,30,0,100.00,0.00
"Estadio Obras","Buenos Aires",NULL,NULL,26,26,0,100.00,0.00
"Feeling Music Bar","São Paulo",NULL,NULL,20,20,0,100.00,0.00
"Lone Star Bar","Midland","TX",NULL,28,28,0,100.00,0.00
"Belle Isle Park","Detroit","Michigan",0,22,22,0,100.00,0.00
"Belle Isle","Detroit","Michigan",0,62,62,0,100.00,0.00
"Batavia Downs Gaming","Batavia","NY",NULL,21,21,0,100.00,0.00
"Long Beach Shoreline","Long Beach","California",0,40,40,0,100.00,0.00
"Long Beach Shoreline Waterfront","Long Beach","California",0,146,146,0,100.00,0.00
"Far Out Lounge & Stage","Austin","Texas",0,25,25,0,100.00,0.00
"Olives","Nyack","NY",NULL,20,20,0,100.00,0.00
"Old Market Assembly","Bristol",NULL,NULL,22,22,0,100.00,0.00
"Longley International Hotel","Hobart","TAS",NULL,22,22,0,100.00,0.00
"Old Coupland Inn & Dancehall","Coupland","TX",NULL,62,62,0,100.00,0.00
"Los Angeles Exposition Park","Los Angeles","California",0,29,29,0,100.00,0.00
"Los Angeles Historic State Park","Los Angeles","California",0,56,56,0,100.00,0.00
"Old Bridge Township Raceway Park","Englishtown","New Jersey",0,83,83,0,100.00,0.00
"Denver Performing Arts Complex Sculpture Park","Denver","Colorado",0,20,20,0,100.00,0.00
"Arcosanti","Arcosanti","Arizona",0,33,33,0,100.00,0.00
"Arcosanti Gallery","Mayer","Arizona",0,29,29,0,100.00,0.00
"Oil Palace","Tyler","TX",NULL,29,29,0,100.00,0.00
"Battery Park","Sioux City","Iowa",0,23,23,0,100.00,0.00
"Main Street (Yellow) Lot, NRG Park","Houston","Texas",0,258,258,0,100.00,0.00
"Main Street Garden Park","Dallas","Texas",0,20,20,0,100.00,0.00
"Battery Park - Hard Rock Hotel & Casino","Sioux City","Iowa",860,23,23,0,100.00,0.00
"Maguey Night Club","Wilmington","DE",NULL,24,24,0,100.00,0.00
"NOVA SD","San Diego","CA",NULL,47,47,0,100.00,0.00
"Los Globos","Chicago","IL",NULL,26,26,0,100.00,0.00
"OC MD Boardwalk","Ocean City","Maryland",0,22,22,0,100.00,0.00
"OC Fair and Event Center","Costa Mesa","California",0,45,45,0,100.00,0.00
"Beaver Dam Amphitheater","Beaver Dam","Kentucky",4000,30,30,0,100.00,0.00
"Oceanside Pier","Oceanside","California",0,20,20,0,100.00,0.00
"Louisville Champions Park","Louisville","Kentucky",0,40,40,0,100.00,0.00
"The Temporary","Basalt","CO",NULL,32,32,0,100.00,0.00
"Detroit Riverfront","Detroit","Michigan",0,36,36,0,100.00,0.00
"Arena District","Columbus","Ohio",0,42,42,0,100.00,0.00
"Detroit Riverfront Park","Detroit","Michigan",0,36,36,0,100.00,0.00
"DeVault Vineyard","Concord","Virginia",0,20,20,0,100.00,0.00
"The Vortex Dome","Los Angeles","CA",NULL,35,35,0,100.00,0.00
"Ocean City Boardwalk","Ocean City","Maryland",0,181,181,0,100.00,0.00
"Ocean Casino Resort","Atlantic City","New Jersey",0,22,22,0,100.00,0.00
"The Twilite Lounge - Deep Ellum","Dallas","TX",NULL,24,24,0,100.00,0.00
"Diamond Rock Club","Ballymena",NULL,NULL,30,30,0,100.00,0.00
"The Utah State Fairpark","Salt Lake City","Utah",0,32,32,0,100.00,0.00
"Oak Point Park & Nature Preserve","Plano","TX",0,22,22,0,100.00,0.00
"Lovin' Life Music Fest 2024","Charlotte","North Carolina",0,26,26,0,100.00,0.00
"Oak Point Park","Plano","Texas",0,20,20,0,100.00,0.00
"The Vanilla Bean Café","Pomfret","CT",70,28,28,0,100.00,0.00
"Oak Canyon Park","Silverado","California",0,99,99,0,100.00,0.00
"Oak Canyon Park","Silverado","CA",0,21,21,0,100.00,0.00
"The Venue at Horseshoe Casino","Hammond","IN",3400,24,24,0,100.00,0.00
"Expositon Park","Los Angeles","California",0,36,36,0,100.00,0.00
"Expo Park","Los Angeles","California",0,30,30,0,100.00,0.00
"Lumen Field Parking Lot","Seattle","Washington",68740,50,50,0,100.00,0.00
"Aura Kansas City","Kansas City","MO",NULL,22,22,0,100.00,0.00
"Studio 338","Greenwich",NULL,NULL,43,43,0,100.00,0.00
"Harbor Nightclub","Manhattan","NY",NULL,24,24,0,100.00,0.00
"Aura","Kansas City","MO",NULL,39,39,0,100.00,0.00
"zMAX Dragway","Concord","North Carolina",0,21,21,0,100.00,0.00
"Zin Zen Wine Bistro","McKinney","TX",NULL,20,20,0,100.00,0.00
"Studio Gonz","Gouda",NULL,NULL,20,20,0,100.00,0.00
"Halle Verriere","Meisenthal",NULL,NULL,25,25,0,100.00,0.00
"Cal State Univ. / Long Beach","Long Beach","California",0,25,25,0,100.00,0.00
"Mick's Garage","London",NULL,NULL,25,25,0,100.00,0.00
"Stone Pony Lot","Asbury Park","New Jersey",0,88,88,0,100.00,0.00
"Subaru Park","Chester","Pennsylvania",0,73,73,0,100.00,0.00
"Zidell Yards","Portland","Oregon",0,33,33,0,100.00,0.00
"St. Johns County Fairgrounds","Elkton","Florida",0,58,58,0,100.00,0.00
"Stinson Park at Aksarben Village","Omaha","Nebraska",0,50,50,0,100.00,0.00
"Camping World","Orlando","Florida",65000,22,22,0,100.00,0.00
"Auto Club Speedway","Los Angeles","California",0,41,41,0,100.00,0.00
"Suffolk Theater","Riverhead","NY",NULL,39,39,0,100.00,0.00
"Sugar","Adelaide","SA",NULL,22,22,0,100.00,0.00
"Cafe Nova","Essen",NULL,NULL,20,20,0,100.00,0.00
"Sugarhouse Casino","Philadelphia","PA",NULL,23,23,0,100.00,0.00
"Steele Indian School Park","Phoenix","Arizona",0,128,128,0,100.00,0.00
"Auto Club Speedway Of Southern California","Fontana","California",122000,40,40,0,100.00,0.00
"Augusta 339","São Paulo",NULL,NULL,20,20,0,100.00,0.00
"Gulf Shores","Gulf Shores","Alabama",0,103,103,0,100.00,0.00
"Stealth and The Rescue Rooms","Nottingham",NULL,NULL,40,40,0,100.00,0.00
"El Corral West","Fort Worth","TX",NULL,26,26,0,100.00,0.00
"Cannery Casino Hotel","Las Vegas","Nevada",0,23,23,0,100.00,0.00
"State Street","Madison","Wisconsin",0,27,27,0,100.00,0.00
"Cantebury Park","Shakopee","Minnesota",300,23,23,0,100.00,0.00
"Canterbury Park","Minneapolis","Minnesota",0,46,46,0,100.00,0.00
"Harrah's Resort Atlantic City","Atlantic City","NJ",NULL,22,22,0,100.00,0.00
"Star of the Desert Arena at Primm Valley Resorts","Primm","NV",NULL,29,29,0,100.00,0.00
"YMCA HQ","Perth","WA",NULL,25,25,0,100.00,0.00
"Star of the Desert Arena","Primm","NV",NULL,25,25,0,100.00,0.00
"Mid-Town Atlanta","Atlanta","Georgia",0,21,21,0,100.00,0.00
"Starlight Amphitheater at Frontier City","Oklahoma City","Oklahoma",0,36,36,0,100.00,0.00
"Universal Studios Florida","Orlando","Florida",0,53,53,0,100.00,0.00
"Yaga's Cafe","Galveston","TX",NULL,21,21,0,100.00,0.00
"Starland Ballroom Parking Lot","Sayreville","New Jersey",0,23,23,0,100.00,0.00
"Sunset Station Hotel & Casino","Henderson","Nevada",0,35,35,0,100.00,0.00
"Hartwood Acres","Pittsburgh","Pennsylvania",0,36,36,0,100.00,0.00
"Hartwood Acres Park","Pittsburgh","Pennsylvania",0,36,36,0,100.00,0.00
"Capital Credit Union Park","Green Bay","Wisconsin",0,21,21,0,100.00,0.00
"Harvard Athletic Complex","Allston","Massachusetts",0,131,131,0,100.00,0.00
"XLR Club","San Miguel",NULL,NULL,23,23,0,100.00,0.00
"Capitol Hill","Seattle","Washington",0,64,64,0,100.00,0.00
"Ukrainian Centre","Doncaster",NULL,NULL,34,34,0,100.00,0.00
"SUNY Oswego","Oswego","New York",0,20,20,0,100.00,0.00
"Supamolly","Berlin",NULL,NULL,29,29,0,100.00,0.00
"Capitol Hill Block Party","Seattle","Washington",0,117,117,0,100.00,0.00
"Sports Authority Field at Mile High Parking Lot","Denver","Colorado",0,56,56,0,100.00,0.00
"Harwell Village Hall","Didcot",NULL,NULL,20,20,0,100.00,0.00
"SXSW 2011","Austin","Texas",0,56,56,0,100.00,0.00
"Heartland Unitarian Universalist Church","Indianapolis","IN",NULL,26,26,0,100.00,0.00
"Millennium","Sparks","NV",NULL,24,24,0,100.00,0.00
"Wroot Village Hall","Doncaster",NULL,NULL,21,21,0,100.00,0.00
"Helynekem","Miskolc",NULL,NULL,22,22,0,100.00,0.00
"Tyler Park","Louisville","Kentucky",0,28,28,0,100.00,0.00
"Cardiff Lounge","Campbell","CA",NULL,20,20,0,100.00,0.00
"Cactus Petes Resort Casino Gala Showroom","Jackpot","NV",NULL,51,51,0,100.00,0.00
"Greenville Lions Park","Greenville","Wisconsin",0,21,21,0,100.00,0.00
"TALEN ENERGY STADIUM","Philadelphia","Pennsylvania",0,30,30,0,100.00,0.00
"Electric Daisy Carnival Las Vegas 2018","Las Vegas","Nevada",0,50,50,0,100.00,0.00
"Speedway Meadow @Golden Gate Park","San Francisco","California",60000,41,41,0,100.00,0.00
"Spartan Stadium, San Jose State University","San Jose","California",0,21,21,0,100.00,0.00
"Southern Wisconsin Regional Airport","Janesville","Wisconsin",0,122,122,0,100.00,0.00
"Here House/local Coffee","Aspen","CO",NULL,20,20,0,100.00,0.00
"Heritage Park","Cullman","Alabama",0,26,26,0,100.00,0.00
"Het Bolwerk","Sneek",NULL,NULL,36,36,0,100.00,0.00
"Southern Wisconsin Regional Airport","Janesville","WI",0,21,21,0,100.00,0.00
"Greenfield Community College","Greenfield","Massachusetts",0,39,39,0,100.00,0.00
"Cabbage Patch Pub","Twickenham",NULL,NULL,42,42,0,100.00,0.00
"Carolina Rebellion","Charlotte","North Carolina",0,21,21,0,100.00,0.00
"Sound Waves at Hard Rock Hotel & Casino Atlantic City","Atlantic City","NJ",NULL,38,38,0,100.00,0.00
"Greek Bros. Oyster Bar & Grill","El Campo","TX",NULL,25,25,0,100.00,0.00
"Avenida Paulista","São Paulo",NULL,NULL,21,21,0,100.00,0.00
"Byron's","Pomeroy","IA",NULL,20,20,0,100.00,0.00
"Carroll Park","Baltimore","Maryland",0,32,32,0,100.00,0.00
"Edison International Field","Anaheim","California",0,21,21,0,100.00,0.00
"High Voltage Rock Club- Copenhagen","Copenhagen",NULL,NULL,20,20,0,100.00,0.00
"BX Cafe","Tokyo",NULL,NULL,44,44,0,100.00,0.00
"Butterfly Bar","Austin","TX",NULL,21,21,0,100.00,0.00
"Metrolina Expo","Charlotte","North Carolina",0,46,46,0,100.00,0.00
"Butlin's - Skegness","Skegness",NULL,NULL,38,38,0,100.00,0.00
