"table_schema","table_name","col_count"
"analytics","airplay",24
"analytics","airplay_artist",6
"analytics","airplay_chart",18
"analytics","airplay_chart_artist",6
"analytics","airplay_chart_format",6
"analytics","airplay_chart_station",6
"analytics","aqh_person",38
"analytics","aqh_share",10
"analytics","artist",22
"analytics","artist_backup",22
"analytics","artist_backup_before_dedupe",22
"analytics","artist_peak",10
"analytics","artist_relationship",12
"analytics","artist_size",6
"analytics","awsdms_validation_failures_v1",16
"analytics","county",24
"analytics","demographic_data",154
"analytics","demographic_data_county",232
"analytics","device_management",36
"analytics","discography",6
"analytics","dma",14
"analytics","event",24
"analytics","event_artist",6
"analytics","financial_with_county",22
"analytics","format",30
"analytics","geography_columns",14
"analytics","geometry_columns",14
"analytics","historic_music_chart",12
"analytics","historic_music_chart_artist",4
"analytics","historic_tunecaster_chart",14
"analytics","historic_tunecaster_chart_artist",4
"analytics","market",12
"analytics","nielsen_dma",18
"analytics","past_event",48
"analytics","pg_stat_statements",98
"analytics","pg_stat_statements_info",4
"analytics","radio_monitor",10
"analytics","radio_monitor_station",4
"analytics","recognition_results",18
"analytics","room",10
"analytics","spatial_ref_sys",10
"analytics","station",25
"analytics","touring_chart",14
"analytics","touring_chart_format",6
"analytics","touring_chart_station",6
"analytics","touring_chart_track",12
"analytics","track",12
"analytics","venue",67
"analytics","venue_all",54
"analytics","venue_backup",44
"analytics","venue_dma",10
"analytics","venue_entitiy",14
"analytics","venue_geocode_results",14
"analytics","venue_images",10
"analytics","venue_invalid",54
"analytics","venue_season_summary",44
"analytics","venue_size",8
"analytics","venue_type",4
"analytics","venue_valid",52
"auth","reset_code",5
"auth","user",13
"auth","user_token",5
"auth","user_venue",4
"cron","job",9
"cron","job_run_details",10
"frontend","airplay",24
"frontend","demographics_all",1
"frontend","past_event",48
"frontend","station",25
"frontend","venue",67
"lookup","are_default",3
"lookup","country",5
"lookup","day_part",4
"lookup","dma_size_multiplier",3
"lookup","format_demographic_weight",4
"lookup","format_tod_weight",4
"lookup","proxy_ip",4
"lookup","us_holidays",6
"public","airplay",24
"public","airplay_artist",6
"public","airplay_chart",18
"public","airplay_chart_artist",6
"public","airplay_chart_format",6
"public","airplay_chart_station",6
"public","aqh_person",38
"public","aqh_share",10
"public","artist",22
"public","artist_backup",22
"public","artist_backup_before_dedupe",22
"public","artist_peak",10
"public","artist_relationship",12
"public","artist_size",6
"public","awsdms_validation_failures_v1",16
"public","county",24
"public","demographic_data",154
"public","demographic_data_county",232
"public","device_management",36
"public","discography",6
"public","dma",14
"public","event",24
"public","event_artist",6
"public","financial_with_county",22
"public","format",30
"public","geography_columns",14
"public","geometry_columns",14
"public","historic_music_chart",12
"public","historic_music_chart_artist",4
"public","historic_tunecaster_chart",14
"public","historic_tunecaster_chart_artist",4
"public","market",12
"public","nielsen_dma",18
"public","past_event",48
"public","pg_stat_statements",98
"public","pg_stat_statements_info",4
"public","radio_monitor",10
"public","radio_monitor_station",4
"public","recognition_results",18
"public","room",10
"public","spatial_ref_sys",10
"public","station",25
"public","touring_chart",14
"public","touring_chart_format",6
"public","touring_chart_station",6
"public","touring_chart_track",12
"public","track",12
"public","venue",67
"public","venue_all",54
"public","venue_backup",44
"public","venue_dma",10
"public","venue_entitiy",14
"public","venue_geocode_results",14
"public","venue_images",10
"public","venue_invalid",54
"public","venue_season_summary",44
"public","venue_size",8
"public","venue_type",4
"public","venue_valid",52
"raw","demographic_data_county",232
"raw","public_venues",15
"raw","venue_capacity_aimee",18
