"venue_id","venue_name","venue_state","venue_capacity","total_events","first_event","last_event"
"141a5875-e7ad-46ef-b27b-272dd1620a07","Empire Polo Club","California",0,12456,"1993-11-05 00:00:00+00","2026-04-26 00:00:00+00"
"07210df3-c6b4-460d-bd89-11234da53aa5","Zilker Metropolitan Park","Texas",0,7260,"1972-10-28 00:00:00+00","2025-10-22 00:00:00+00"
"fdffbd91-7e57-4271-913b-df15798dcb11","Shoreline Amphitheatre","California",0,4721,"1986-07-06 00:00:00+00","2025-10-16 00:00:00+00"
"4fe83530-fe33-4d4e-bf6b-837ca6e5e8f2","Merriweather Post Pavilion","Maryland",0,4693,"1969-05-25 00:00:00+00","2025-10-09 00:00:00+00"
"b09a3c31-12c1-4ddd-b3c0-4251260c1f79","Great Stage Park","Tennessee",0,4667,"1999-08-12 00:00:00+00","2025-06-15 00:00:00+00"
"0002588c-7420-44c2-b243-447f080c0506","9:30 Club","District of Columbia",0,4489,"1981-06-11 00:00:00+00","2026-04-29 00:00:00+00"
"f8ff1d98-3cff-4584-a495-ac4a519fd6d2","The Worcester Palladium","Massachusetts",0,4178,"1990-11-20 00:00:00+00","2025-12-19 00:00:00+00"
"7bc2a295-4380-4c9f-bf4f-b5a18be49ab7","Grant Park","Illinois",30000,3974,"2001-08-01 00:00:00+00","2025-09-06 00:00:00+00"
"62b1f914-27ec-4be3-ad38-1536d918a00b","Madison Square Garden","New York",0,3817,"1965-11-14 00:00:00+00","2026-08-09 00:00:00+00"
"3a7ccee8-3ddc-4e90-be82-509d789abff2","Xfinity Center","Massachusetts",19900,3815,"1986-06-18 00:00:00+00","2025-10-11 00:00:00+00"
"ce787ff0-6c5a-4cb9-bfa7-9079d1e8a0de","Red Rocks Amphitheatre","Colorado",0,3629,"1970-08-10 00:00:00+00","2026-06-20 00:00:00+00"
"da80896b-08b6-415a-a6f0-db57a028fbf7","PNC Bank Arts Center","New Jersey",17500,3584,"1990-09-17 00:00:00+00","2026-06-18 00:00:00+00"
"8e38f50b-4cab-4371-80a8-3d180f35a4d4","House of Blues Chicago","Illinois",0,3574,"1994-01-18 00:00:00+00","2026-04-10 00:00:00+00"
"782bfe8c-6a52-4b86-bf90-0db09eaa805f","Riverbend Music Center","Ohio",20500,3428,"1984-07-09 00:00:00+00","2025-10-19 00:00:00+00"
"4c03c9af-6139-4602-988d-7d9a265a72ad","Golden Gate Park","California",60000,3372,"1966-10-06 00:00:00+00","2025-10-11 00:00:00+00"
"15e9f533-3836-4362-b04e-baa9b3da24d8","The Rave/Eagles Club","Wisconsin",1500,3279,"1983-10-20 00:00:00+00","2025-11-27 00:00:00+00"
"5c784b4a-2995-4ae6-9985-52155decf1cc","House of Blues Anaheim","California",0,3276,"1987-04-24 00:00:00+00","2026-03-14 00:00:00+00"
"e51d5768-3ee6-45d7-a1c7-183cf57b8a77","Irving Plaza","New York",0,3223,"1969-12-27 00:00:00+00","2025-12-13 00:00:00+00"
"fc64cb59-a3e7-495c-899a-590daecc42e5","House of Blues Orlando","Florida",0,3129,"1997-01-10 00:00:00+00","2026-03-05 00:00:00+00"
"66dcd891-63a4-49d1-8793-d7a42f7c03bf","The Gorge Amphitheatre","Washington",27500,3127,"1988-05-29 00:00:00+00","2025-08-31 00:00:00+00"
"fe91625e-e181-4b31-9cbe-280ccd1e3d42","Theatre Of Living Arts","Pennsylvania",800,3121,"1988-08-12 00:00:00+00","2026-03-07 00:00:00+00"
"4a1a9626-ce9a-4a57-ac71-f67953210f1e","Las Vegas Festival Grounds","Nevada",0,3114,"2011-10-01 00:00:00+00","2026-04-25 00:00:00+00"
"690dac81-ac1c-432f-9a18-a6c5e0423e31","Blossom Music Center","Ohio",400,3001,"1971-08-10 00:00:00+00","2025-10-07 00:00:00+00"
"fdd9def0-b7af-44f4-b2b2-2a22f5c48920","The Masquerade","Georgia",0,2990,"1990-01-17 00:00:00+00","2025-12-13 00:00:00+00"
"e7ab8b16-59ed-47b0-95e7-dfbbb46c0914","House of Blues Las Vegas, Mandalay Bay Resort and Casino","Nevada",0,2934,"1997-10-22 00:00:00+00","2025-12-06 00:00:00+00"
"b86db9ae-0833-41f8-b6c9-e2bdb6cb36db","Roseland Theater","Oregon",0,2892,"1983-10-02 00:00:00+00","2026-02-22 00:00:00+00"
"29a5c66a-c82a-441b-a23a-81c19bba2c4e","Discovery Park","California",0,2890,"1998-06-14 00:00:00+00","2025-10-05 00:00:00+00"
"8dc7501e-3eb0-457d-9915-f3791334d251","Marquee Theatre","Arizona",1500,2862,"2001-03-22 00:00:00+00","2026-01-09 00:00:00+00"
"6794b3a3-3c2e-4155-a3c4-5ad99f787dd7","House of Blues Boston","Massachusetts",0,2840,"1991-09-23 00:00:00+00","2026-03-01 00:00:00+00"
"eff7bb0e-24ec-4b63-b168-0d27564bfbc1","Bogart's","Ohio",0,2839,"1976-10-02 00:00:00+00","2025-12-13 00:00:00+00"
"ff0dfe77-25d6-4ef5-a8c2-201dd01cc89f","First Avenue","Minnesota",1500,2813,"1981-09-29 00:00:00+00","2026-03-26 00:00:00+00"
"13d33de9-3c45-47bb-a801-a4f8b3d83a71","Darien Lake Performing Arts Center, Six Flags Darien Lake","New York",0,2774,"1987-05-29 00:00:00+00","2026-08-06 00:00:00+00"
"937ca00d-3f92-4d1c-aced-ff8ce3decfb1","Highland Festival Grounds, Kentucky Exposition Center","Kentucky",0,2722,"2008-09-07 00:00:00+00","2025-09-21 00:00:00+00"
"6b78f6fa-0a23-4358-862d-881cace370ad","Starland Ballroom","New Jersey",0,2714,"1995-09-06 00:00:00+00","2025-12-20 00:00:00+00"
"588dcdfa-f59d-409f-90f2-fc9053b9a8cc","The Norva","Virginia",1450,2692,"2000-05-02 00:00:00+00","2026-03-10 00:00:00+00"
"32330ada-36f6-45e2-81b9-3475d18557c7","Xfinity Theatre","Connecticut",30000,2675,"1995-07-21 00:00:00+00","2026-08-14 00:00:00+00"
"357a1766-17b2-4cc5-9087-d73d2b895464","Historic Crew Stadium","Ohio",40000,2607,"2001-08-20 00:00:00+00","2026-05-17 00:00:00+00"
"2aa83e1c-07d9-47d7-9e6d-cdfa35fad47d","The Agora","Ohio",0,2596,"1973-04-23 00:00:00+00","2026-05-09 00:00:00+00"
"3a83af54-5c36-4135-979a-0896899d00d0","The Fillmore","California",0,2587,"1965-12-10 00:00:00+00","2026-04-25 00:00:00+00"
"b6b228f3-ded9-4c46-ad13-a75343940d12","Daytona International Speedway","Florida",0,2537,"2003-02-16 00:00:00+00","2026-05-07 00:00:00+00"
"6952bee6-91e2-4593-8480-f3ba39304443","House of Blues Cleveland","Ohio",1200,2513,"2001-02-13 00:00:00+00","2025-12-07 00:00:00+00"
"72577921-a9fc-47bd-b82e-03f9a2d32e69","Veterans United Home Loans Amphitheater","Virginia",20000,2390,"1995-09-02 00:00:00+00","2025-10-24 00:00:00+00"
"11d2cd8f-b733-4a77-9e64-58b3ddf5ffdd","Saint Andrew’s Hall","Michigan",0,2388,"1981-09-27 00:00:00+00","2026-05-05 00:00:00+00"
"e5bb283c-0e21-4188-8113-0453b8a73ea8","Ogden Theatre","Colorado",0,2382,"1993-09-19 00:00:00+00","2026-05-03 00:00:00+00"
"bb6e5a3a-ef29-4977-aa15-b1f592962697","Newport Music Hall","Ohio",1700,2370,"1985-01-28 00:00:00+00","2025-12-03 00:00:00+00"
"8acf5ddb-5123-41fa-a6dd-08bcb6a7057c","The Cynthia Woods Mitchell Pavilion","Texas",16500,2348,"1990-06-03 00:00:00+00","2025-11-02 00:00:00+00"
"28315a0f-6bd7-46fc-9e63-eb1be79d4e0d","The Pavilion at Montage Mountain","Pennsylvania",18000,2316,"1992-08-08 00:00:00+00","2026-06-12 00:00:00+00"
"0b3d9fe3-c303-459b-a535-b1fd57cf98d4","The Pageant","Missouri",0,2308,"2000-06-02 00:00:00+00","2026-03-24 00:00:00+00"
"071df9bf-04ec-476e-b331-f89b3d1941a6","House of Blues San Diego","California",0,2249,"1997-12-09 00:00:00+00","2025-12-19 00:00:00+00"
"55f60502-4c6b-4124-a922-3776e936b54e","Metro","Illinois",0,2238,"1982-07-22 00:00:00+00","2025-11-29 00:00:00+00"
"45b73689-cf3c-47f9-ac91-4e59ce72f286","Douglass Park","Illinois",0,2236,"2015-09-11 00:00:00+00","2025-09-21 00:00:00+00"
"89d9efd8-2e5c-477b-bafe-66e0d3bb8f18","Pine Knob Music Theatre","Michigan",0,2235,"1972-08-15 00:00:00+00","2025-10-02 00:00:00+00"
"b076f07b-b4f2-4027-9e29-798015821e37","The Warfield Theatre","California",2300,2210,"1979-06-29 00:00:00+00","2026-02-14 00:00:00+00"
"05d49c95-2af7-4cb2-84be-af95ec5114cc","Cellairis Amphitheatre at Lakewood","Georgia",0,2180,"1989-07-20 00:00:00+00","2025-09-26 00:00:00+00"
"79850b0e-f1ef-4b8c-b60a-232b40e64afc","Troubadour","California",500,2150,"1969-03-11 00:00:00+00","2025-11-13 00:00:00+00"
"3d0ea23a-fb4a-4873-be85-d0d606b3a1dd","SOMA San Diego","California",0,2131,"1989-06-14 00:00:00+00","2026-04-19 00:00:00+00"
"573ef64b-c0d8-4218-8f6b-a6e7cc2df758","The Wiltern","California",0,2095,"1985-08-06 00:00:00+00","2026-04-24 00:00:00+00"
"57ccb3b3-d471-45ef-85d4-c93183ae3ac8","Ryman Auditorium","Tennessee",0,2094,"1964-10-17 00:00:00+00","2026-05-12 00:00:00+00"
